
NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,Unnamed: 26
77,3,1,1:36.697,0,,26.055,0,42.532,0,28.110,0,152.2,1:36.697,12:12:21.272,0:26.055,0:42.532,0:28.110,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,2,1:19.567,0,,9.546,0,42.073,0,27.948,0,184.9,2:56.264,12:13:40.839,0:09.546,0:42.073,0:27.948,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,3,1:19.462,0,,9.496,2,42.079,0,27.887,2,185.2,4:15.726,12:15:00.301,0:09.496,0:42.079,0:27.887,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,4,1:19.447,2,,9.517,0,41.976,2,27.954,0,185.2,5:35.173,12:16:19.748,0:09.517,0:41.976,0:27.954,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,5,1:19.616,0,,9.520,0,42.039,0,28.057,0,184.8,6:54.789,12:17:39.364,0:09.520,0:42.039,0:28.057,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,6,1:19.571,0,,9.530,0,42.124,0,27.917,0,184.9,8:14.360,12:18:58.935,0:09.530,0:42.124,0:27.917,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,7,1:19.802,0,,9.566,0,42.168,0,28.068,0,184.4,9:34.162,12:20:18.737,0:09.566,0:42.168,0:28.068,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,8,1:19.752,0,,9.561,0,42.202,0,27.989,0,184.5,10:53.914,12:21:38.489,0:09.561,0:42.202,0:27.989,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,9,1:19.670,0,,9.545,0,42.050,0,28.075,0,184.7,12:13.584,12:22:58.159,0:09.545,0:42.050,0:28.075,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,10,1:19.920,0,,9.592,0,42.291,0,28.037,0,184.1,13:33.504,12:24:18.079,0:09.592,0:42.291,0:28.037,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,11,1:19.981,0,,9.592,0,42.446,0,27.943,0,184.0,14:53.485,12:25:38.060,0:09.592,0:42.446,0:27.943,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,12,1:20.859,0,,9.606,0,43.200,0,28.053,0,182.0,16:14.344,12:26:58.919,0:09.606,0:43.200,0:28.053,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,13,1:20.898,0,,9.655,0,43.245,0,27.998,0,181.9,17:35.242,12:28:19.817,0:09.655,0:43.245,0:27.998,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,14,1:19.772,0,,9.572,0,42.155,0,28.045,0,184.5,18:55.014,12:29:39.589,0:09.572,0:42.155,0:28.045,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,15,1:23.395,0,,9.567,0,42.190,0,31.638,0,176.5,20:18.409,12:31:02.984,0:09.567,0:42.190,0:31.638,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,FCY,
77,3,16,1:46.511,0,,13.729,0,53.559,0,39.223,0,138.2,22:04.920,12:32:49.495,0:13.729,0:53.559,0:39.223,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,FCY,
77,3,17,2:08.385,0,,12.528,0,1:05.389,0,50.468,0,114.6,24:13.305,12:34:57.880,0:12.528,1:05.389,0:50.468,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,FCY,
77,3,18,2:11.577,0,B,12.600,0,1:01.871,0,57.106,0,111.8,26:24.882,12:37:09.457,0:12.600,1:01.871,0:57.106,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,FCY,
77,3,19,2:25.928,0,,50.257,0,56.156,0,39.515,0,100.8,28:50.810,12:39:35.385,0:50.257,0:56.156,0:39.515,,Laurin Heinrich,0:00:54.088,GTDPRO,,AO Racing,Porsche,FCY,
77,3,20,2:37.383,0,,13.883,0,1:27.250,0,56.250,0,93.5,31:28.193,12:42:12.768,0:13.883,1:27.250,0:56.250,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,FCY,
77,3,21,2:01.065,0,,13.260,0,1:12.306,0,35.499,0,121.6,33:29.258,12:44:13.833,0:13.260,1:12.306,0:35.499,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,22,1:20.652,0,,9.637,0,42.659,0,28.356,0,182.5,34:49.910,12:45:34.485,0:09.637,0:42.659,0:28.356,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,23,1:20.992,0,,9.816,0,43.019,0,28.157,0,181.7,36:10.902,12:46:55.477,0:09.816,0:43.019,0:28.157,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,24,1:19.887,0,,9.561,0,42.405,0,27.921,0,184.2,37:30.789,12:48:15.364,0:09.561,0:42.405,0:27.921,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,25,1:20.181,0,,9.603,0,42.552,0,28.026,0,183.5,38:50.970,12:49:35.545,0:09.603,0:42.552,0:28.026,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,26,1:20.510,0,,9.609,0,42.790,0,28.111,0,182.8,40:11.480,12:50:56.055,0:09.609,0:42.790,0:28.111,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,27,1:20.674,0,,9.616,0,42.945,0,28.113,0,182.4,41:32.154,12:52:16.729,0:09.616,0:42.945,0:28.113,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,28,1:20.702,0,,9.650,0,42.733,0,28.319,0,182.3,42:52.856,12:53:37.431,0:09.650,0:42.733,0:28.319,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,29,1:20.469,0,,9.701,0,42.637,0,28.131,0,182.9,44:13.325,12:54:57.900,0:09.701,0:42.637,0:28.131,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,30,1:20.796,0,,9.838,0,42.774,0,28.184,0,182.1,45:34.121,12:56:18.696,0:09.838,0:42.774,0:28.184,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,31,1:20.768,0,,9.814,0,42.850,0,28.104,0,182.2,46:54.889,12:57:39.464,0:09.814,0:42.850,0:28.104,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,32,1:20.747,0,,9.674,0,42.974,0,28.099,0,182.2,48:15.636,12:59:00.211,0:09.674,0:42.974,0:28.099,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,33,1:21.927,0,,9.899,0,43.499,0,28.529,0,179.6,49:37.563,13:00:22.138,0:09.899,0:43.499,0:28.529,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,34,1:21.742,0,,9.917,0,43.657,0,28.168,0,180.0,50:59.305,13:01:43.880,0:09.917,0:43.657,0:28.168,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,35,1:20.580,0,,9.652,0,42.814,0,28.114,0,182.6,52:19.885,13:03:04.460,0:09.652,0:42.814,0:28.114,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,36,1:20.920,0,,9.652,0,42.887,0,28.381,0,181.9,53:40.805,13:04:25.380,0:09.652,0:42.887,0:28.381,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,37,1:21.161,0,,9.919,0,42.997,0,28.245,0,181.3,55:01.966,13:05:46.541,0:09.919,0:42.997,0:28.245,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,38,1:21.164,0,,9.668,0,43.074,0,28.422,0,181.3,56:23.130,13:07:07.705,0:09.668,0:43.074,0:28.422,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,39,1:21.577,0,,9.870,0,43.033,0,28.674,0,180.4,57:44.707,13:08:29.282,0:09.870,0:43.033,0:28.674,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,40,1:22.296,0,,9.769,0,43.730,0,28.797,0,178.8,59:07.003,13:09:51.578,0:09.769,0:43.730,0:28.797,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,41,1:21.989,0,,10.208,0,43.449,0,28.332,0,179.5,1:00:28.992,13:11:13.567,0:10.208,0:43.449,0:28.332,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,42,1:24.577,0,,10.163,0,44.639,0,29.775,0,174.0,1:01:53.569,13:12:38.144,0:10.163,0:44.639,0:29.775,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
77,3,43,1:31.905,0,B,11.129,0,43.968,0,36.808,0,160.1,1:03:25.474,13:14:10.049,0:11.129,0:43.968,0:36.808,,Laurin Heinrich,,GTDPRO,,AO Racing,Porsche,GF,
